name,sg_total,sg_off_tee,sg_approach,sg_around_green,sg_putting,consistency
Scottie Scheffler,2.5,0.45,0.89,0.52,0.36,1.61
Xander Schauffele,2,0.42,0.99,0.31,0.42,1.58
Rory McIlroy,1.8,0.3,0.82,0.51,0.33,1.57
Jon Rahm,1.7,0.36,0.41,0.15,0.1,1.74
Collin Morikawa,1.6,0.5,0.77,0.38,0.07,1.66
Ludvig Aberg,1.5,0.23,0.74,0.2,0.28,1.98
Viktor Hovland,1.4,0.26,0.2,-0.08,0.58,2.17
Sahith Theegala,1.3,0.56,0.5,0.36,0.33,1.94
Hideki Matsuyama,1.3,0.32,0.32,0.11,0.34,1.95
Brooks Koepka,1.3,0.12,0.47,-0.01,0.23,1.93
Patrick Cantlay,1.2,0.18,0.16,0.47,0.27,1.84
Jordan Spieth,1.2,0.66,0.38,0.3,0.05,2.02
Wyndham Clark,1.2,0.66,0.23,0.29,0.18,1.98
Sam Burns,1.1,0.48,0.19,0.35,0.4,1.84
Shane Lowry,1.1,0.05,0.17,0.25,0.15,1.9
Justin Thomas,1.1,0.33,0.4,-0.07,0.51,1.94
Tommy Fleetwood,1,0.46,0.21,0.25,0.45,1.99
Tony Finau,1,0.26,0.6,0.13,0.49,1.93
Sungjae Im,1,0.48,0.57,0.3,0.23,2.13
Cameron Smith,0.9,0.29,0.2,0.04,0.07,1.98
Keegan Bradley,0.9,0.31,0.41,-0.13,0.17,1.98
Tom Kim,0.9,-0.02,0.44,0.07,0.15,2.17
Robert MacIntyre,0.85,0.03,0.25,0,0.12,1.9
Corey Conners,0.85,0.17,0.42,0.39,-0.12,1.99
Min Woo Lee,0.8,0.43,0.3,-0.1,0.1,1.85
Russell Henley,0.8,0.43,0.22,-0.13,0.22,1.93
Sepp Straka,0.8,0.09,0.21,0.01,0.23,1.88
Denny McCarthy,0.75,0.1,0.56,-0.07,0.25,2.01
Brian Harman,0.7,0.38,0.02,0.02,-0.03,1.92
Matt Fitzpatrick,0.7,0.01,0.52,0.24,0.19,2.01
Cameron Young,0.7,0.2,0.16,-0.02,0.07,1.96
Chris Kirk,0.65,0.15,0.12,0.01,-0.1,2.09
Jason Day,0.65,0.14,-0.07,0.01,0.15,1.88
Tyrrell Hatton,0.65,0.42,0.48,0.38,0.31,1.89
Si Woo Kim,0.6,0.19,0.03,0.31,0.31,2.19
Adam Scott,0.6,0.09,0.29,0.19,0.36,1.85
Will Zalatoris,0.6,0.29,0.51,0.38,-0.1,1.95
Max Homa,0.55,-0.11,0.22,-0.11,0.11,1.86
Billy Horschel,0.5,0.33,0.03,-0.1,0,2.42
Byeong Hun An,0.5,0.1,0.45,0.12,0.07,2.39
Akshay Bhatia,0.5,0.41,0.17,0.05,-0.15,2.43
Stephan Jaeger,0.45,-0.07,0.2,0.13,0,2.32
Eric Cole,0.45,-0.03,0.35,0.06,0.18,2.35
Nick Dunlap,0.45,-0.13,0.24,0.17,-0.12,2.44
Taylor Moore,0.4,-0.05,-0.13,0.04,0.22,2.49
Dustin Johnson,0.5,0.17,-0.1,0.16,0.03,2.35
Sergio Garcia,0.3,0.01,0.03,0.25,0.27,2.47
Joaquin Niemann,0.35,0.14,-0.15,0.19,-0.07,2.38
Tiger Woods,0.2,-0.23,0.05,0.11,0.27,2.3
Phil Mickelson,0.1,0.26,0.31,-0.01,0.01,2.47
Bubba Watson,0.05,-0.27,-0.26,0,0.04,2.32
Zach Johnson,0,0.03,0.1,0.05,0.07,2.56
Patrick Reed,0.25,0.24,0.27,0.32,0.01,2.23
Danny Willett,0.1,0,0.32,0.3,-0.04,2.3
Fred Couples,-0.5,0.14,0,-0.15,-0.22,2.54
Vijay Singh,-1,-0.04,-0.27,0.1,-0.05,2.93
Jose Maria Olazabal,-0.8,-0.45,-0.29,-0.39,-0.28,2.63
Larry Mize,-1.2,-0.4,-0.28,-0.05,-0.39,2.71
Sandy Lyle,-1.5,-0.28,-0.45,-0.23,-0.12,2.91
